country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Portugal;18.1;19.4;29.7;31.8;35;38;42.1;44.1;48.3;53.3;55.3;60.3;62.1;64.6;68.6;70.4;73.8;74.7;75.3;
Paraguay;1.1;1.79;2.11;3.45;7.91;7.96;11.2;14.3;18.9;19.8;24.8;29.3;36.9;43;49.7;53.4;61.1;65;68.5;
Palestine;1.84;3.1;4.13;4.4;16;18.4;21.2;24.4;32.2;37.4;41.1;43.4;46.6;53.7;56.7;59.9;63.3;64.4;70.6;
French Polynesia;6.25;8.2;14.1;17.9;21.5;25.1;28.6;33.9;44.6;49;49;52.9;56.8;60.7;64.6;68.4;72.7;;;
Qatar;6.17;10.2;19.2;20.7;24.7;29;37;44.3;53.1;69;69;69.3;85.3;91.5;92.9;95.1;97.4;99.7;99.7;
Romania;4.54;6.58;8.9;15;21.5;24.7;28.3;32.4;36.6;39.9;40;45.9;49.8;54.1;55.8;59.5;63.7;70.7;73.7;
Russia;2.94;4.13;8.3;12.9;15.2;18;24.7;26.8;29;43;49;63.8;68;70.5;70.1;73.1;76;80.9;82.6;
Rwanda;0.241;0.293;0.357;0.431;0.556;;2.12;4.5;7.7;8;7;8.02;9;10.6;18;20;21.8;25;26;
Saudi Arabia;4.68;6.38;8;10.2;12.7;19.5;30;36;38;41;47.5;54;60.5;64.7;69.6;74.9;94.2;93.3;95.7;
Sudan;0.14;0.439;0.538;0.792;1.29;;8.66;;;16.7;17.5;;;;;14.1;;;25.4;
Senegal;0.984;1.01;2.1;4.39;4.79;5.61;6.89;7.12;7.5;8;9.8;10.8;13.1;17.7;21.7;25.7;29.6;35.3;39.5;
Singapore;41.7;47;53.8;62;61;59;69.9;69;69;71;71;72;80.9;79;79;84.5;84.5;88.2;88.9;
Solomon Islands;0.469;0.502;0.556;0.65;0.844;1.65;2;3;4;5;6;7;8;9;10;11;11.9;;;
Sierra Leone;0.16;0.176;0.19;0.203;0.215;0.228;0.24;0.25;0.26;0.58;0.9;2.5;4;6.06;6.34;11.8;13.2;15.8;16.8;
El Salvador;1.5;1.9;2.5;3.2;4.2;5.5;6.11;10.1;12.1;15.9;18.9;20.3;23.1;24.8;26.8;29;33.8;43.8;50.5;
San Marino;50.3;50.8;50;50.6;50.3;50.2;50.4;54.5;54.2;;49.6;;;;;;60.2;;;
Somalia;0.079;0.116;0.376;1.05;1.08;1.1;1.12;1.14;1.16;;1.25;1.38;1.5;1.63;1.76;1.88;2;;;
Serbia;;;;23.5;26.3;27.2;33.1;35.6;38.1;40.9;42.2;48.1;53.5;62.1;65.3;67.1;70.3;73.4;77.4;
