country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Turkey;1610;1670;1770;1890;2010;2180;2350;2420;2310;2490;2700;2770;2760;2850;;;;;
Tanzania;62.9;68.3;68.1;79.8;79.6;65.4;81.8;86.3;72.4;96.6;87.3;97.8;100;104;;;;;
Ukraine;2790;2840;3000;3150;3250;3400;3530;3530;3230;3550;3660;3640;3600;3420;;;;;
Uruguay;2000;2000;1890;1930;2000;2220;2420;2590;2670;2820;2820;2950;3000;3090;;;;;
United States;13k;13.3k;13.3k;13.4k;13.7k;13.6k;13.7k;13.7k;12.9k;13.4k;13.2k;13k;13k;13k;;;;;
Uzbekistan;1770;1780;1760;1770;1720;1760;1660;1650;1640;1650;1630;1610;1640;1650;;;;;
Venezuela;2730;2760;2660;2800;2890;3000;3020;3130;3090;3200;3260;3300;3300;2720;;;;;
Vietnam;327;378;433;484;570;645;728;803;906;1020;1100;1210;1280;1420;;;;;
Yemen;147;155;166;173;184;194;211;230;227;255;194;194;251;220;;;;;
South Africa;4300;4530;4560;4590;4640;4720;4850;4670;4430;4540;4570;4370;4290;4200;;;;;
Zambia;619;644;663;685;693;705;664;590;568;591;632;733;747;717;;;;;
Zimbabwe;872;878;880;856;892;872;760;628;585;607;636;609;629;609;;;;;
