country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Israel;5.5M;6.3M;6.62M;7.22M;7.76M;8.4M;8.9M;8.98M;9.02M;9.11M;9.2M;9.22M;9.5M;9.5M;10.6M;10.6M;10.5M;10.7M;11.7M;
Italy;51.2M;54.2M;56.8M;62.8M;71.5M;80.4M;89.8M;90.3M;90M;93.7M;96M;97.2M;96.9M;89.9M;87.7M;86M;83.9M;83.3M;79.5M;
Jamaica;598k;1.24M;1.58M;1.84M;1.98M;2.27M;2.68M;2.72M;2.96M;3.18M;2.95M;2.71M;2.85M;3.01M;3.14M;3.27M;3.09M;2.96M;3.02M;
Jordan;866k;1.22M;1.33M;1.62M;3.14M;4.34M;4.77M;5.31M;6.01M;6.62M;7.48M;8.98M;10.3M;11.1M;13.8M;9.82M;9.7M;8.73M;7.78M;
Japan;74.8M;81.1M;86.7M;91.5M;96.5M;99.8M;107M;110M;116M;123M;133M;141M;148M;158M;161M;167M;173M;180M;187M;
Kazakhstan;582k;1.03M;1.33M;2.45M;5.4M;7.78M;12.3M;14.9M;17.1M;19.4M;25.2M;30.2M;30.4M;28.6M;26.3M;25.5M;26.7M;26.1M;25.7M;
Kenya;600k;1.19M;1.59M;2.55M;4.61M;7.34M;11.3M;16.3M;19.4M;25M;28.1M;30.7M;31.8M;33.6M;37.7M;39M;42.8M;49.5M;54.6M;
Kyrgyz Republic;27k;53.1k;138k;263k;542k;1.26M;2.17M;3.39M;4.49M;5.28M;6.28M;6.8M;6.74M;7.56M;7.58M;7.61M;8.47M;8.74M;8.62M;
Cambodia;223k;380k;498k;862k;1.06M;1.72M;2.58M;4.24M;6.27M;8.15M;13.8M;19.1M;20.3M;20.5M;20.9M;19.9M;18.6M;19.4M;21.4M;
Kiribati;395;495;526;615;650;700;750;1000;9910;10.6k;13.8k;18k;20k;30k;41k;52k;46.1k;53.3k;54.7k;
St. Kitts and Nevis;2100;5000;22k;29k;51k;51k;64.5k;74.5k;75.5k;80k;77k;76k;77k;65k;73k;76.6k;76.9k;;;
South Korea;29M;32.3M;33.6M;36.6M;38.3M;40.2M;44.4M;45.6M;47.9M;50.8M;52.5M;53.6M;54.7M;57.3M;58.9M;61.3M;63.7M;66.4M;68.9M;
Kosovo;;;;;562k;562k;562k;562k;562k;562k;;;;;;;;;;
Kuwait;878k;1.23M;1.42M;1.77M;1.38M;1.18M;1.43M;1.5M;2.62M;3.98M;4.93M;5.1M;6.41M;7.6M;7.66M;7.66M;7.14M;7.1M;7.33M;
Lao;29.5k;55.2k;112k;204k;658k;1.01M;1.48M;2.02M;3.23M;4M;5.48M;4.3M;4.61M;4.62M;3.73M;3.96M;3.71M;3.66M;4.36M;
Lebanon;767k;775k;795k;884k;994k;1.11M;1.26M;1.43M;2.39M;2.86M;3.46M;3.76M;3.88M;4.39M;4.66M;4.28M;4.4M;4.42M;4.24M;
